group,gene
505,fucP
506,exbB
507,tgt
508,ptsP
509,fhuF
510,rpmI
511,kbaY
512,ileS
513,crr
514,msyB
515,cutC
516,lpxP
517,hisA
518,ptsN
519,yheS
520,npr
521,xanP
522,puuP
523,gntT
524,hyfA
525,exoD
526,folP
527,rpsF
528,torD
529,rho
530,yahJ
531,mlc
532,ppiA
533,rplK
534,nanT
535,pcm
536,rimI
537,rng
538,lysS
539,ogrK
540,sanA
541,yhjH
542,ecnB
543,pspB
544,bdcR
545,tatA
546,hemN
547,ompW
548,fur
549,chaC
550,garK
551,dosP
552,glvC
553,sgcQ
554,nohQ
555,eutD
556,dsbA
557,ytfA
558,thiD
559,hemE
560,opgG
561,yjgX
562,tonB
563,zapA
564,uhpC
565,tolB
566,ybhF
567,sieB
568,pheM
569,rhoL
570,sfmF
571,ynfN
572,insP
573,intG
574,ygfK
575,yraR
576,menD
577,rimP
578,kdgT
579,yhbX
580,nfi
581,hda
582,yghS
583,yhdJ
584,adeQ
585,dapF
586,yhfY
587,dcrB
588,tiaE
589,frlB
590,bisC
591,yhfK
592,yhjK
593,yheO
594,yieL
595,yrhC
596,hofP
597,dgoA
598,rhtB
599,frlC
600,gtrS
601,smf
602,ypdJ
603,srlE
604,ybgO
605,rutB
606,ylaB
607,ybjI
608,ycgG
609,ydaG
610,yccS
611,ydcI
612,yceK
613,yaiT
614,ydbL
615,ybfG
616,ycaI
617,flgH
618,rzpD
619,ymgD
620,yegP
621,maeA
622,ydjY
623,ynjB
624,dosC
625,rsmF
626,yeiP
627,epmC
628,mdtA
629,yqeJ
630,ubiH
631,yhfZ
632,gudD
633,ygaQ
634,yabP
635,phnM
636,ybhR
637,glpR
638,glyS
639,rspB
640,dsbB
641,tusE
642,sseA
643,yeaD
644,parC
645,dnaG
646,ybhQ
647,ycaQ
648,sufD
649,trmH
650,lsrG
651,tomB
652,yfdY
653,yfgI
654,sucD
655,entA
656,rhaS
657,fdnH
658,yibI
659,fepG
660,cspE
661,udk
662,sfmH
663,apt
664,acrR
665,epd
666,recX
667,aphA
668,ybfE
669,pcnB
670,yncH
671,yihO
672,lgoR
673,yoeA
674,hdfR
675,elaD
676,nuoC
677,yqhC
678,trmL
679,rpsO
680,bioH
681,lipB
682,yaaY
683,speB
684,prfC
685,rpsT
686,mcbA
687,ybdO
688,kdpD
689,rstA
690,fumA
691,coaE
692,ypjC
693,pgm
694,rseA
695,dacA
696,ydhQ
697,pptA
698,bamB
699,ydcS
700,rodZ
701,wcaI
702,asmA
703,ygcO
704,rapZ
705,yjcF
706,fimC
707,rffH
708,wecG
709,cutA
710,wecB
711,wcaG
712,wzxE
713,pgpA
714,wcaF
715,ppiB
716,rimK
717,cmtB
718,miaA
719,tolA
720,rpmJ
721,metL
722,uspB
723,pspE
724,ulaE
725,hyfC
726,opgH
727,thrC
728,yhcE
729,fau
730,wecF
731,ydaQ
732,eamA
733,wcaH
734,yfcU
735,pinH
736,pnp
737,ypfH
738,etp
739,hupB
740,acnB
741,ihfB
742,fadR
743,phoQ
744,phoR
745,aceE
746,rapA
747,ypaA
748,yfiR
749,ydcD
750,ybjQ
751,gmr
752,ydeE
753,macB
754,argG
755,ygfZ
756,yraH
757,yqfB
758,nlpI
759,hsrA
760,argE
761,argH
762,tyrA
763,argA
764,cheW
765,lpxM
766,gpt
767,cysQ
768,glgA
769,hycG
770,yccA
771,gabP
772,rpmF
773,gltP
774,nupC
775,srlB
776,cmtA
777,rpmG
778,bamE
779,rplI
780,racC
781,fliJ
782,psiF
783,yeaW
784,argB
785,yiaF
786,trkH
787,proQ
788,thrA
789,gcvA
790,purC
791,yeeJ
792,tyrR
793,pdhR
794,metR
795,argR
796,nuoF
797,yciU
798,yedF
799,ydfV
800,glnB
801,coaA
802,sapF
803,ansB
804,glmM
805,atpA
806,atpH
807,atpF
808,atpB
809,livH
810,tatC
811,typA
812,yehL
813,mnmG
814,pgrR
815,pabC
